Community,Year,safety,s_race_african_american,s_race_asian_american,s_race_hispanic,s_race_white,s_race_other,s_age_low,s_age_medium,s_age_high,s_sex_female,s_sex_male,s_education_low,s_education_medium,s_education_high,s_income_low,s_income_medium,s_income_high,trust,t_race_african_american,t_race_asian_american,t_race_hispanic,t_race_white,t_race_other,t_age_low,t_age_medium,t_age_high,t_sex_female,t_sex_male,t_education_low,t_education_medium,t_education_high,t_income_low,t_income_medium,t_income_high,t_listen,t_listen_race_african_american,t_listen_race_asian_american,t_listen_race_hispanic,t_listen_race_white,t_listen_race_other,t_listen_age_low,t_listen_age_medium,t_listen_age_high,t_listen_sex_female,t_listen_sex_male,t_listen_education_low,t_listen_education_medium,t_listen_education_high,t_listen_income_low,t_listen_income_medium,t_listen_income_high,t_respect,t_respect_race_african_american,t_respect_race_asian_american,t_respect_race_hispanic,t_respect_race_white,t_respect_race_other,t_respect_age_low,t_respect_age_medium,t_respect_age_high,t_respect_sex_female,t_respect_sex_male,t_respect_education_low,t_respect_education_medium,t_respect_education_high,t_respect_income_low,t_respect_income_medium,t_respect_income_high
Rogers Park,2017,61.3,59.44,70.35,51.03,67.02,71.24,55.83,58.2,75.06,61.23,58.92,NA,NA,NA,NA,NA,NA,60.95,38.82,62.17,57.05,74.96,71.2,49.63,67.92,67,60.93,60.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Ridge,2017,61.21,61.01,67.3,66.04,53.7,78.77,55.56,69.33,64.44,50.79,69.84,NA,NA,NA,NA,NA,NA,71.67,61.01,71.11,55.66,78.7,78.41,70.63,72.89,73.33,70.63,73.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uptown,2017,71.03,68.62,73.23,62.55,69.86,75.15,69.97,72.42,73.43,70.53,72.91,NA,NA,NA,NA,NA,NA,68.15,65.11,75.35,65.96,68.22,69.73,64.46,69.85,72.4,68.59,65.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln Square,2017,62.72,68.89,64.76,57.5,58.73,65.68,62.36,61.11,69.06,56.94,72.22,NA,NA,NA,NA,NA,NA,67.01,68.89,72.06,58.19,65.08,69.62,66.88,67.59,70.94,69.44,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Center,2017,72.97,54.54,60.56,68.89,74.75,79.37,87.04,61.11,63.41,67.82,74.07,NA,NA,NA,NA,NA,NA,61.78,56.2,60.97,55.56,62.12,75.4,63.89,61.11,60.74,61.24,61.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake View,2017,72.88,65.05,66.67,57.48,78,83.22,73.58,71.16,76.3,64.07,76.23,NA,NA,NA,NA,NA,NA,70.29,63.05,71.25,58,74.86,69.69,61.73,74.34,79.72,68.07,71.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lincoln Park,2017,73.46,71.36,56.47,64.23,75.48,69.19,72.84,66.83,80.77,75.49,72.67,NA,NA,NA,NA,NA,NA,71.12,65.41,69.74,58.56,73.78,61.72,74.43,65.39,69.58,69.4,71.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Near North Side,2017,66.8,74.32,42.17,67.62,67.52,66.67,70.83,69.14,60,70.83,65.87,NA,NA,NA,NA,NA,NA,59.68,46.91,76.32,54.95,58.97,68.89,61.81,59.88,52.22,61.11,57.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edison Park,2017,69.22,62.43,54.37,60.67,70.57,73.06,72.08,69.02,66.49,75.89,64.42,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Park,2017,71.64,50.53,66.56,53.72,73.61,79.44,73.33,68.89,72.98,80.95,62.96,NA,NA,NA,NA,NA,NA,70.19,51.19,76.28,53.62,70.83,69.72,58.89,73.33,77.6,80.95,58.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
